coin,price(inr),last_updated
BTC,2500000.0,2021-01-11 22:14:22
ETH,85000.0,2021-01-11 22:14:22
USDT,79.0,2021-01-11 22:14:22
BTC,2949086.0,2021-01-12 14:15:40
BTC,2915579.0,2021-01-12 14:20:42
BTC,2912973.0,2021-01-12 14:25:43
BTC,2916604.0,2021-01-12 14:30:44
BTC,2927812.0,2021-01-12 14:45:46
BTC,2919690.0,2021-01-12 14:50:48
BTC,2906393.0,2021-01-12 14:55:49
BTC,2920786.0,2021-01-12 15:00:50
BTC,2929828.0,2021-01-12 15:05:53
BTC,2936192.0,2021-01-12 15:10:55
BTC,2934516.0,2021-01-12 15:15:56
BTC,2886726.0,2021-01-12 16:39:41
BTC,2889654.0,2021-01-12 16:44:41
BTC,2905610.0,2021-01-12 16:49:46
BTC,2906673.0,2021-01-12 16:54:47
BTC,2903016.0,2021-01-12 16:59:49
BTC,2905186.0,2021-01-12 17:04:49
BTC,2880531.0,2021-01-12 17:09:51
BTC,2865496.0,2021-01-12 17:14:51
BTC,2867162.0,2021-01-12 17:19:52
BTC,2881696.0,2021-01-12 17:24:53
BTC,2873888.0,2021-01-12 17:29:54
BTC,2892393.0,2021-01-12 17:34:54
BTC,2894952.0,2021-01-12 17:39:58
BTC,2896476.0,2021-01-12 17:45:00
BTC,2887251.0,2021-01-12 17:50:02
BTC,2872170.0,2021-01-12 17:55:03
BTC,2868997.0,2021-01-12 18:00:04
BTC,2857440.0,2021-01-12 18:05:04
BTC,2858522.0,2021-01-12 18:10:05
BTC,2845250.0,2021-01-12 18:15:07
BTC,2854138.0,2021-01-12 18:20:08
BTC,2852312.0,2021-01-12 18:25:11
BTC,2849373.0,2021-01-12 18:30:12
BTC,2863420.0,2021-01-12 18:35:13
BTC,2868815.0,2021-01-12 18:40:15
BTC,2869287.0,2021-01-12 18:45:17
BTC,2853214.0,2021-01-12 18:50:19
BTC,2813137.0,2021-01-12 18:55:19
BTC,2812734.0,2021-01-12 19:00:20
BTC,2792944.0,2021-01-12 19:05:21
BTC,2798917.0,2021-01-12 19:10:21
BTC,2755303.0,2021-01-12 19:15:23
BTC,2749983.0,2021-01-12 19:20:24
BTC,2758555.0,2021-01-12 19:25:24
BTC,2712975.0,2021-01-12 19:30:25
BTC,2734574.0,2021-01-12 19:35:26
BTC,2753861.0,2021-01-12 19:40:27
BTC,2750081.0,2021-01-12 19:45:29
BTC,2762130.0,2021-01-12 19:50:30
BTC,2723031.0,2021-01-12 19:55:30
BTC,2668179.0,2021-01-12 20:00:31
BTC,2685023.0,2021-01-12 20:05:33
BTC,2718831.0,2021-01-12 20:20:35
BTC,2713696.0,2021-01-12 20:25:37
BTC,2717586.0,2021-01-12 20:30:38
BTC,2746617.0,2021-01-12 20:35:39
BTC,2756423.0,2021-01-12 20:40:40
BTC,2742956.0,2021-01-12 20:45:41
BTC,2742956.0,2021-01-12 20:50:42
BTC,2742956.0,2021-01-12 20:55:43
BTC,2771440.0,2021-01-12 21:00:44
BTC,2753664.0,2021-01-12 21:05:44
BTC,2758320.0,2021-01-12 21:10:45
BTC,2755278.0,2021-01-12 21:15:46
BTC,2758172.0,2021-01-12 21:20:47
BTC,2767513.0,2021-01-12 21:25:48
BTC,2752200.0,2021-01-12 21:30:49
BTC,2784023.0,2021-01-12 21:35:50
BTC,2800224.0,2021-01-12 21:40:51
BTC,2800892.0,2021-01-12 21:45:52
BTC,2802380.0,2021-01-12 21:50:53
BTC,2818638.0,2021-01-12 21:55:54
BTC,2814383.0,2021-01-12 22:00:56
BTC,2800037.0,2021-01-12 22:05:57
BTC,2817682.0,2021-01-12 23:07:31
BTC,2685315.0,2021-01-13 18:38:08
